Lambda (nm),transmission
387,7.07E-07
388,8.04E-07
389,8.94E-07
390,2.29E-06
391,4.77E-06
392,5.04E-06
393,2.33E-06
394,5.23E-07
395,2.99E-07
396,3.87E-07
397,5.52E-07
398,5.48E-07
399,3.96E-07
400,2.36E-07
401,1.76E-07
402,1.72E-07
403,2.34E-07
404,2.74E-07
405,2.47E-07
406,1.89E-07
407,1.79E-07
408,1.63E-07
409,1.09E-07
410,1.02E-07
411,9.49E-08
412,9.51E-08
413,9.57E-08
414,1.62E-07
415,1.94E-07
416,2.18E-07
417,1.99E-07
418,1.70E-07
419,1.40E-07
420,2.08E-07
421,2.32E-07
422,1.50E-07
423,4.06E-08
424,3.07E-08
425,3.07E-08
426,2.07E-08
427,1.30E-08
428,5.36E-09
429,3.08E-08
430,1.45E-08
431,1.47E-08
432,1.49E-08
433,1.14E-09
434,1.01E-08
435,1.45E-08
436,1.89E-08
437,1.64E-08
438,1.64E-08
439,1.39E-08
440,1.08E-07
441,2.73E-07
442,8.46E-07
443,1.61E-06
444,1.82E-06
445,1.41E-06
446,9.69E-07
447,8.05E-07
448,9.13E-07
449,1.04E-06
450,1.09E-06
451,1.13E-06
452,1.05E-06
453,9.36E-07
454,9.43E-07
455,1.13E-06
456,1.51E-06
457,2.47E-06
458,5.36E-06
459,1.20E-05
460,1.80E-05
461,1.54E-05
462,7.94E-06
463,3.25E-06
464,1.54E-06
465,9.18E-07
466,6.42E-07
467,4.64E-07
468,3.78E-07
469,3.64E-07
470,4.12E-07
471,5.25E-07
472,8.29E-07
473,2.22E-06
474,7.07E-06
475,1.19E-05
476,9.27E-06
477,3.46E-06
478,9.11E-07
479,4.57E-07
480,3.03E-07
481,2.37E-07
482,1.81E-07
483,1.98E-07
484,1.80E-07
485,2.20E-07
486,2.24E-07
487,3.45E-07
488,5.95E-07
489,1.29E-06
490,2.05E-06
491,1.82E-06
492,8.22E-07
493,1.80E-07
494,5.04E-08
495,1.70E-09
496,2.16E-09
497,2.16E-09
498,2.16E-09
499,2.16E-09
500,2.16E-09
501,2.16E-09
502,2.16E-09
503,2.16E-09
504,2.16E-09
505,2.16E-09
506,2.16E-09
507,2.16E-09
508,2.16E-09
509,2.16E-09
510,2.16E-09
511,2.16E-09
512,2.16E-09
513,2.16E-09
514,2.62E-09
515,2.25E-09
516,1.89E-09
517,3.46E-08
518,1.80E-08
519,1.46E-09
520,3.12E-09
521,3.63E-09
522,3.63E-09
523,3.63E-09
524,3.63E-09
525,3.63E-09
526,4.15E-09
527,9.37E-09
528,9.37E-09
529,9.37E-09
530,9.37E-09
531,9.37E-09
532,9.37E-09
533,9.37E-09
534,9.37E-09
535,9.37E-09
536,9.37E-09
537,9.37E-09
538,1.46E-08
539,1.46E-08
540,1.46E-08
541,1.46E-08
542,1.46E-08
543,8.09E-09
544,8.09E-09
545,8.09E-09
546,8.09E-09
547,1.58E-09
548,7.97E-09
549,1.37E-08
550,1.37E-08
551,1.37E-08
552,1.37E-08
553,1.37E-08
554,1.37E-08
555,1.95E-08
556,2.08E-08
557,2.08E-08
558,2.08E-08
559,2.21E-08
560,3.35E-08
561,1.30E-08
562,2.02E-08
563,6.13E-08
564,8.73E-08
565,1.94E-07
566,4.59E-07
567,1.06E-06
568,1.95E-06
569,2.35E-06
570,1.96E-06
571,1.44E-06
572,1.07E-06
573,9.12E-07
574,8.70E-07
575,8.34E-07
576,7.86E-07
577,8.38E-07
578,8.15E-07
579,9.35E-07
580,1.11E-06
581,1.61E-06
582,2.78E-06
583,5.69E-06
584,1.05E-05
585,1.43E-05
586,1.35E-05
587,1.03E-05
588,7.14E-06
589,5.17E-06
590,3.43E-06
591,2.16E-06
592,1.27E-06
593,7.51E-07
594,4.75E-07
595,3.43E-07
596,2.27E-07
597,1.78E-07
598,1.60E-07
599,1.17E-07
600,7.56E-08
601,1.08E-07
602,1.28E-07
603,1.41E-07
604,1.55E-07
605,1.44E-07
606,1.40E-07
607,1.00E-07
608,8.52E-08
609,5.16E-08
610,4.39E-08
611,2.53E-08
612,1.29E-08
613,9.07E-09
614,9.07E-09
615,9.07E-09
616,9.07E-09
617,9.07E-09
618,9.07E-09
619,9.07E-09
620,9.07E-09
621,5.30E-09
622,1.85E-08
623,1.85E-08
624,3.18E-08
625,3.95E-08
626,3.93E-08
627,9.79E-08
628,1.68E-07
629,3.33E-07
630,6.14E-07
631,1.01E-06
632,1.50E-06
633,1.77E-06
634,1.60E-06
635,1.29E-06
636,1.06E-06
637,8.59E-07
638,7.22E-07
639,7.31E-07
640,6.62E-07
641,6.38E-07
642,7.58E-07
643,8.37E-07
644,1.01E-06
645,1.22E-06
646,1.57E-06
647,2.00E-06
648,2.57E-06
649,3.54E-06
650,4.83E-06
651,6.66E-06
652,8.98E-06
653,1.16E-05
654,1.42E-05
655,1.65E-05
656,1.84E-05
657,1.98E-05
658,2.13E-05
659,2.28E-05
660,2.46E-05
661,2.65E-05
662,2.90E-05
663,3.19E-05
664,3.52E-05
665,3.88E-05
666,4.28E-05
667,4.71E-05
668,5.21E-05
669,5.74E-05
670,6.36E-05
671,7.06E-05
672,7.86E-05
673,8.74E-05
674,9.72E-05
675,0.000108871
676,0.000121793
677,0.000137331
678,0.000155276
679,0.000176426
680,0.000202154
681,0.000232851
682,0.000270159
683,0.000314332
684,0.000367896
685,0.000433308
686,0.000510518
687,0.000605489
688,0.000719154
689,0.000857041
690,0.001024296
691,0.001229061
692,0.001480496
693,0.001788371
694,0.002171584
695,0.002639141
696,0.003230303
697,0.003963919
698,0.00487212
699,0.00603273
700,0.007477285
701,0.009284424
702,0.011569427
703,0.014459032
704,0.018042468
705,0.022540863
706,0.028088334
707,0.035003736
708,0.043384709
709,0.053340225
710,0.065314598
711,0.079050608
712,0.094851684
713,0.112567005
714,0.131786709
715,0.152640972
716,0.175218239
717,0.198160763
718,0.222503414
719,0.24764061
720,0.273749389
721,0.300751896
722,0.328350105
723,0.357374878
724,0.387287521
725,0.418127251
726,0.449770164
727,0.482433738
728,0.515452805
729,0.547938156
730,0.581262055
731,0.612879638
732,0.644028091
733,0.673663254
734,0.701976929
735,0.728887405
736,0.753549195
737,0.77485527
738,0.795951844
739,0.815687943
740,0.831207352
741,0.847398606
742,0.861360474
743,0.874313661
744,0.885399856
745,0.896158371
746,0.905878524
747,0.914751434
748,0.923110581
749,0.931011962
750,0.936781615
751,0.943432083
752,0.948787689
753,0.954416045
754,0.95921486
755,0.962368165
756,0.965732956
757,0.968758011
758,0.972055283
759,0.974130401
760,0.975857315
761,0.977817688
762,0.978314132
763,0.980441742
764,0.980687713
765,0.98279915
766,0.983646851
767,0.983423996
768,0.985158081
769,0.986451721
770,0.987050628
771,0.988300705
772,0.988305511
773,0.989335252
774,0.989806442
775,0.99019249
776,0.990977861
777,0.991459656
778,0.991194458
779,0.991965027
780,0.991517868
781,0.992635573
782,0.993441163
783,0.992221527
784,0.99314598
785,0.993532944
786,0.993585891
787,0.993240052
788,0.992770615
789,0.99261818
790,0.992082137
791,0.993021698
792,0.993355485
793,0.99371399
794,0.992957076
795,0.993830567
796,0.994601136
797,0.993912048
798,0.993208924
799,0.994300842
800,0.994472275
801,0.994791794
802,0.993960876
803,0.995222702
804,0.995878678
805,0.995271378
806,0.995093614
807,0.994937745
808,0.995018845
809,0.995031357
810,0.995310746
811,0.99359459
812,0.994060898
813,0.994351426
814,0.993274536
815,0.994094619
816,0.992034911
817,0.991507798
818,0.991980057
819,0.991344604
820,0.990571061
821,0.989149933
822,0.989907608
823,0.9892099
824,0.988146514
825,0.987944489
826,0.986539305
827,0.987525252
828,0.986644363
829,0.986175689
830,0.985806885
831,0.986643829
832,0.985509872
833,0.98493164
834,0.984875793
835,0.984772873
836,0.984742584
837,0.983203887
838,0.982157974
839,0.982213975
840,0.980843583
841,0.98156723
842,0.981198501
843,0.980190125
844,0.980996322
845,0.980180359
846,0.980084534
847,0.978191377
848,0.979371873
849,0.978454894
850,0.977501832
851,0.976571885
852,0.975619354
853,0.975769576
854,0.976197129
855,0.975668945
856,0.974808349
857,0.974771119
858,0.974360732
859,0.973141557
860,0.971773758
861,0.972332688
862,0.972088929
863,0.970422287
864,0.969780198
865,0.97000618
866,0.967427292
867,0.967847443
868,0.96556717
869,0.964196168
870,0.963599549
871,0.962782975
872,0.961919709
873,0.959246749
874,0.959822464
875,0.958567886
876,0.956668319
877,0.956401444
878,0.953629684
879,0.953124085
880,0.951625213
881,0.950540695
882,0.949828873
883,0.950168761
884,0.947630615
885,0.947799988
886,0.945808259
887,0.944010772
888,0.943741226
889,0.942754059
890,0.942802278
891,0.941269532
892,0.941022263
893,0.941185912
894,0.940682527
895,0.938899384
896,0.937952195
897,0.938040238
898,0.936588668
899,0.936570282
900,0.935656815
901,0.935322953
902,0.933675004
903,0.933919372
904,0.932846985
905,0.931875992
906,0.930859375
907,0.929112701
908,0.927984085
909,0.928044739
910,0.926034012
911,0.924532014
912,0.9242128
913,0.923042908
914,0.920983047
915,0.919485856
916,0.918316423
917,0.91726471
918,0.914771804
919,0.913778305
920,0.91126091
921,0.911035537
922,0.908888244
923,0.908571549
924,0.906705475
925,0.904713973
926,0.902371368
927,0.902001953
928,0.899507904
929,0.897735214
930,0.894954224
931,0.894205017
932,0.891115876
933,0.890190887
934,0.886846313
935,0.887296981
936,0.882171478
937,0.881033936
938,0.878327179
939,0.876769638
940,0.873437424
941,0.8710009
942,0.868713227
943,0.866274718
944,0.863581619
945,0.860493928
946,0.85731491
947,0.854915161
948,0.852014388
949,0.848115921
950,0.847046813
951,0.843793868
952,0.840687181
953,0.838162384
954,0.83556015
955,0.832072907
956,0.829448548
957,0.827293854
958,0.823878326
959,0.821517562
960,0.818408051
961,0.815838624
962,0.812167817
963,0.81041977
964,0.806801147
965,0.804653321
966,0.802044831
967,0.801131057
968,0.796783372
969,0.794574891
970,0.791704864
971,0.789480972
972,0.785804673
973,0.783473587
974,0.780617599
975,0.778314743
976,0.774814758
977,0.772562867
978,0.769703751
979,0.765541382
980,0.762842713
981,0.759045867
982,0.756595002
983,0.752275543
984,0.750670318
985,0.745973282
986,0.743587799
987,0.739389039
988,0.735216141
989,0.731799927
990,0.729128265
991,0.724727478
992,0.720757447
993,0.716697922
994,0.712700576
995,0.708305741
996,0.704404144
997,0.700339355
998,0.695771789
999,0.690872422
1000,0.686430664
1001,0.682206879
1002,0.678438187
1003,0.673582841
1004,0.668735351
1005,0.66431221
1006,0.659679337
1007,0.655384139
1008,0.650197525
1009,0.645573806
1010,0.640612717
1011,0.635767745
1012,0.631336021
1013,0.626741829
1014,0.621360702
1015,0.616434631
1016,0.611198005
1017,0.606123734
1018,0.601141625
1019,0.596169815
1020,0.591969567
1021,0.586512146
1022,0.58165062
1023,0.576605263
1024,0.572321663
1025,0.566232452
1026,0.561803398
1027,0.557097244
1028,0.551028862
1029,0.545588073
1030,0.540444069
1031,0.536561623
1032,0.530690193
1033,0.526296425
1034,0.520882607
1035,0.515996284
1036,0.510972214
1037,0.505608368
1038,0.500664788
1039,0.495789223
1040,0.490451813
1041,0.485278588
1042,0.480366707
1043,0.474176331
1044,0.470013084
1045,0.465325775
1046,0.460122909
1047,0.454803658
1048,0.449602547
1049,0.445247956
1050,0.439836425
1051,0.434622727
1052,0.429823609
1053,0.4244804
1054,0.41976036
1055,0.414533195
1056,0.409831543
1057,0.40445076
1058,0.399061126
1059,0.394895554
1060,0.389167023
1061,0.384096832
1062,0.379844285
1063,0.374324188
1064,0.368810807
1065,0.36461216
1066,0.358802185
1067,0.353383942
1068,0.348879204
1069,0.343897629
1070,0.338615151
1071,0.333764496
1072,0.329268532
1073,0.323746299
1074,0.318985214
1075,0.314247665
1076,0.308789368
1077,0.304223442
1078,0.299438477
1079,0.294108963
1080,0.289899521
1081,0.284811344
1082,0.280253239
1083,0.275152588
1084,0.270540409
1085,0.266541996
1086,0.261313172
1087,0.256974163
1088,0.252369824
1089,0.248132878
1090,0.243824177
1091,0.239583321
1092,0.235066319
1093,0.23099287
1094,0.226644879
1095,0.223268719
1096,0.219050331
1097,0.215149841
1098,0.211046066
1099,0.207759666
1100,0.203856087
1101,0.200372334
1102,0.196823883
1103,0.193541222
1104,0.190193978
1105,0.186829586
1106,0.183588448
1107,0.180610619
1108,0.177787952
1109,0.174584751
1110,0.171540947
1111,0.16881155
1112,0.166174221
1113,0.163649979
1114,0.160787754
1115,0.158392725
1116,0.156007071
1117,0.154127626
1118,0.151300163
1119,0.149138689
1120,0.146820764
1121,0.145001936
1122,0.142767849
1123,0.140986862
1124,0.139010315
1125,0.136996479
1126,0.135895176
1127,0.134075184
1128,0.132287588
1129,0.13063571
1130,0.129215746
1131,0.127900896
1132,0.126709166
1133,0.125226307
1134,0.12387455
1135,0.122627926
1136,0.121561813
1137,0.120489807
1138,0.11951786
1139,0.118541117
1140,0.117666025
1141,0.116547155
1142,0.11581934
1143,0.114870834
1144,0.11471138
1145,0.11368866
1146,0.112822151
1147,0.112481031
1148,0.111922998
1149,0.111407747
1150,0.111059074
1151,0.110830221
1152,0.110304546
1153,0.110134211
1154,0.10986248
1155,0.109496193
1156,0.109437046
1157,0.109549313
1158,0.109621267
1159,0.109542885
1160,0.109597702
1161,0.109682646
1162,0.109808102
1163,0.109950495
