Lambda (nm),transmission
631,0.757961579
632,0.756572799
633,0.754405288
634,0.751439209
635,0.74845192
636,0.745478744
637,0.743164978
638,0.74097992
639,0.738588486
640,0.73597229
641,0.73279068
642,0.728326264
643,0.723739472
644,0.719804841
645,0.715174484
646,0.711286621
647,0.707822266
648,0.703858719
649,0.699563217
650,0.693210755
651,0.685292205
652,0.67537468
653,0.663807068
654,0.651320114
655,0.638581696
656,0.626410675
657,0.615467835
658,0.604272384
659,0.595355988
660,0.586270753
661,0.577625999
662,0.569170456
663,0.560455627
664,0.551678124
665,0.542910805
666,0.534345016
667,0.525906562
668,0.517688674
669,0.510371323
670,0.503504447
671,0.496569786
672,0.49037426
673,0.48459198
674,0.479094429
675,0.474811058
676,0.47036831
677,0.466906815
678,0.464030189
679,0.461703034
680,0.459662552
681,0.457830887
682,0.455307617
683,0.453531151
684,0.450747718
685,0.447753982
686,0.444392472
687,0.440394249
688,0.435753975
689,0.43048523
690,0.424623261
691,0.418051072
692,0.411128388
693,0.403657531
694,0.396180458
695,0.388355675
696,0.380512543
697,0.373213082
698,0.366602249
699,0.359811516
700,0.35391388
701,0.348577843
702,0.343685723
703,0.339354439
704,0.335294914
705,0.33143364
706,0.32784462
707,0.324202614
708,0.320656739
709,0.316803493
710,0.313175049
711,0.309194736
712,0.305415249
713,0.301483154
714,0.29760212
715,0.29357132
716,0.289486923
717,0.285720406
718,0.281726952
719,0.277886562
720,0.274220028
721,0.270505104
722,0.266947536
723,0.263049355
724,0.259581795
725,0.256097755
726,0.252308369
727,0.248386421
728,0.244484768
729,0.240104656
730,0.235813064
731,0.231210213
732,0.226146603
733,0.220867043
734,0.21567667
735,0.210419426
736,0.205376072
737,0.19978138
738,0.194577732
739,0.189470367
740,0.184849243
741,0.180491848
742,0.176253681
743,0.172354126
744,0.169026127
745,0.166074562
746,0.163040371
747,0.161030731
748,0.158865337
749,0.157143459
750,0.155681896
751,0.154329996
752,0.153019934
753,0.151713152
754,0.15036149
755,0.148931923
756,0.147149963
757,0.145167694
758,0.142927113
759,0.140179415
760,0.137113314
761,0.133539123
762,0.129773989
763,0.125721617
764,0.12124115
765,0.116735964
766,0.112247686
767,0.107697945
768,0.103163366
769,0.09898798
770,0.094789467
771,0.090999174
772,0.087357578
773,0.083978376
774,0.080973482
775,0.078097873
776,0.075540833
777,0.073216414
778,0.071083994
779,0.069179168
780,0.067521205
781,0.06588644
782,0.064567075
783,0.063126683
784,0.06190001
785,0.060644994
786,0.059400125
787,0.058242426
788,0.056903887
789,0.055634303
790,0.054290075
791,0.052785778
792,0.051279521
793,0.049787788
794,0.048191042
795,0.046563411
796,0.044894204
797,0.043285999
798,0.041668835
799,0.040033903
800,0.035237205
801,0.033800793
802,0.032432723
803,0.031192982
804,0.029982171
805,0.028843138
806,0.027800164
807,0.026810932
808,0.025858364
809,0.024979961
810,0.02413373
811,0.023331153
812,0.022527566
813,0.021750903
814,0.020913761
815,0.020012941
816,0.01902313
817,0.017934723
818,0.016731026
819,0.015449501
820,0.014117495
821,0.012848876
822,0.011702437
823,0.01059128
824,0.009428097
825,0.008298791
826,0.007207711
827,0.006224775
828,0.005324852
829,0.004515515
830,0.00380878
831,0.003205085
832,0.00268638
833,0.002247978
834,0.001888841
835,0.001595633
836,0.001354387
837,0.001164236
838,0.001010878
839,0.000886149
840,0.000791733
841,0.00071881
842,0.000664552
843,0.000628168
844,0.000606978
845,0.000603283
846,0.000613681
847,0.000635144
848,0.000664221
849,0.00069759
850,0.000729877
851,0.000759391
852,0.000779336
853,0.00078754
854,0.000776807
855,0.000742407
856,0.00068793
857,0.000616388
858,0.000531841
859,0.000443414
860,0.00035545
861,0.000272145
862,0.000201628
863,0.000145123
864,0.00010322
865,7.53E-05
866,5.66E-05
867,4.33E-05
868,3.46E-05
869,2.82E-05
870,2.33E-05
871,1.98E-05
872,1.70E-05
873,1.49E-05
874,1.31E-05
875,1.18E-05
876,1.07E-05
877,9.88E-06
878,9.18E-06
879,8.55E-06
880,8.09E-06
881,7.77E-06
882,7.38E-06
883,7.18E-06
884,7.03E-06
885,6.87E-06
886,6.88E-06
887,6.86E-06
888,6.81E-06
889,6.87E-06
890,6.99E-06
891,7.18E-06
892,7.34E-06
893,7.48E-06
894,7.70E-06
895,7.96E-06
896,8.18E-06
897,8.54E-06
898,8.78E-06
899,9.11E-06
900,9.47E-06
901,9.77E-06
902,1.00E-05
903,1.03E-05
904,1.07E-05
905,1.11E-05
906,1.14E-05
907,1.17E-05
908,1.20E-05
909,1.25E-05
910,1.28E-05
911,1.31E-05
912,1.36E-05
913,1.40E-05
914,1.44E-05
915,1.48E-05
916,1.53E-05
917,1.56E-05
918,1.61E-05
919,1.65E-05
920,1.69E-05
921,1.73E-05
922,1.75E-05
923,1.77E-05
924,1.78E-05
925,1.78E-05
926,1.77E-05
927,1.75E-05
928,1.72E-05
929,1.69E-05
930,1.65E-05
931,1.60E-05
932,1.56E-05
933,1.50E-05
934,1.45E-05
935,1.40E-05
936,1.35E-05
937,1.30E-05
938,1.25E-05
939,1.21E-05
940,1.18E-05
941,1.16E-05
942,1.14E-05
943,1.11E-05
944,1.12E-05
945,1.12E-05
946,1.13E-05
947,1.14E-05
948,1.15E-05
949,1.15E-05
950,1.14E-05
951,1.09E-05
952,1.02E-05
953,9.28E-06
954,7.93E-06
955,6.65E-06
956,5.35E-06
957,4.21E-06
958,3.31E-06
959,2.56E-06
960,1.93E-06
961,1.48E-06
962,1.18E-06
963,9.10E-07
964,7.33E-07
965,5.76E-07
966,4.63E-07
967,3.41E-07
968,3.48E-07
969,2.64E-07
970,2.22E-07
971,2.10E-07
972,1.82E-07
973,1.24E-07
974,1.19E-07
975,1.41E-07
976,1.27E-07
977,7.13E-08
978,1.30E-07
979,1.27E-07
980,1.06E-07
981,7.35E-08
982,4.42E-08
983,1.73E-09
984,9.81E-08
985,3.89E-08
986,3.45E-08
987,8.75E-08
988,6.00E-08
989,6.27E-08
990,5.46E-08
991,4.64E-08
992,1.16E-08
993,1.49E-08
994,2.94E-09
995,1.99E-08
996,3.68E-08
997,3.35E-08
998,3.92E-08
999,3.92E-08
1000,4.50E-08
1001,4.84E-09
1002,1.50E-08
1003,4.22E-09
1004,8.32E-08
1005,2.62E-08
1006,5.34E-08
1007,8.06E-08
1008,5.09E-08
1009,2.12E-08
1010,1.91E-08
1011,2.33E-08
1012,4.17E-08
1013,1.68E-08
1014,1.44E-08
1015,1.21E-08
1016,3.75E-08
1017,3.75E-08
1018,6.29E-08
1019,2.42E-08
1020,6.40E-08
1021,9.55E-08
1022,1.27E-07
1023,3.16E-08
1024,2.35E-08
1025,3.07E-08
1026,3.80E-08
1027,1.97E-08
1028,3.50E-08
1029,1.27E-07
1030,2.90E-08
1031,3.55E-08
1032,4.19E-08
1033,4.83E-08
1034,5.09E-08
1035,2.55E-08
1036,2.55E-08
1037,2.55E-08
1038,1.04E-10
1039,1.50E-08
1040,8.32E-09
1041,1.89E-08
1042,2.94E-08
1043,4.11E-08
1044,5.28E-08
1045,5.07E-08
1046,7.95E-08
1047,3.14E-08
1048,1.77E-08
1049,4.09E-09
1050,6.15E-09
1051,4.20E-08
1052,2.64E-08
1053,2.13E-08
1054,1.11E-08
1055,4.61E-09
1056,5.80E-08
1057,9.01E-08
1058,7.74E-08
1059,6.48E-08
1060,4.71E-08
1061,2.93E-08
1062,5.23E-08
1063,7.52E-08
1064,2.87E-08
1065,3.85E-09
1066,6.76E-08
1067,5.93E-08
1068,5.10E-08
1069,6.08E-08
1070,7.06E-08
1071,6.92E-08
1072,6.64E-08
1073,1.30E-07
1074,1.41E-07
1075,6.68E-08
1076,1.09E-07
1077,4.08E-08
1078,1.37E-07
1079,1.20E-07
1080,1.58E-07
1081,2.34E-07
1082,2.15E-07
1083,2.09E-07
1084,2.63E-07
1085,2.99E-07
1086,3.41E-07
1087,4.27E-07
1088,5.70E-07
1089,7.29E-07
1090,9.36E-07
1091,1.29E-06
1092,1.77E-06
1093,2.55E-06
1094,3.75E-06
1095,5.99E-06
1096,1.02E-05
1097,1.82E-05
1098,3.02E-05
1099,4.11E-05
1100,4.18E-05
1101,3.22E-05
1102,2.15E-05
1103,1.42E-05
1104,1.00E-05
1105,7.55E-06
1106,6.05E-06
1107,5.05E-06
1108,4.30E-06
1109,3.84E-06
1110,3.38E-06
1111,3.19E-06
1112,2.97E-06
1113,2.74E-06
1114,2.68E-06
1115,2.52E-06
1116,2.45E-06
1117,2.41E-06
1118,2.40E-06
1119,2.38E-06
1120,2.40E-06
1121,2.35E-06
1122,2.38E-06
1123,2.40E-06
1124,2.45E-06
1125,2.52E-06
1126,2.53E-06
1127,2.64E-06
1128,2.65E-06
1129,2.75E-06
1130,2.93E-06
1131,3.05E-06
1132,3.16E-06
1133,3.25E-06
1134,3.44E-06
1135,3.65E-06
1136,3.85E-06
1137,4.09E-06
1138,4.39E-06
1139,4.75E-06
1140,5.05E-06
1141,5.40E-06
1142,5.92E-06
1143,6.44E-06
1144,7.02E-06
1145,7.75E-06
1146,8.64E-06
1147,9.58E-06
1148,1.08E-05
1149,1.21E-05
1150,1.39E-05
1151,1.58E-05
1152,1.83E-05
1153,2.14E-05
1154,2.52E-05
1155,3.00E-05
1156,3.62E-05
1157,4.41E-05
1158,5.43E-05
1159,6.72E-05
1160,8.44E-05
1161,0.000104675
1162,0.000128854
1163,0.000155053
1164,0.000177929
1165,0.000192961
1166,0.000196637
1167,0.000188513
1168,0.000172104
1169,0.000152193
1170,0.000132555
1171,0.000115067
1172,0.000100523
1173,8.85E-05
1174,7.88E-05
1175,7.10E-05
1176,6.46E-05
1177,5.96E-05
1178,5.55E-05
1179,5.20E-05
1180,4.94E-05
1181,4.72E-05
1182,4.54E-05
1183,4.43E-05
1184,4.35E-05
1185,4.29E-05
1186,4.26E-05
1187,4.25E-05
1188,4.28E-05
1189,4.33E-05
1190,4.40E-05
1191,4.49E-05
1192,4.62E-05
1193,4.77E-05
1194,4.95E-05
1195,5.16E-05
1196,5.40E-05
1197,5.68E-05
1198,6.02E-05
1199,6.41E-05
1200,6.85E-05
1201,7.34E-05
1202,7.89E-05
1203,8.53E-05
1204,9.28E-05
1205,0.000101131
1206,0.000110521
1207,0.000121605
1208,0.000134005
1209,0.000148372
1210,0.00016527
1211,0.000184613
1212,0.000206862
1213,0.000232745
1214,0.000262358
1215,0.000297869
1216,0.000337653
1217,0.0003845
1218,0.000438144
1219,0.000500628
1220,0.000574057
1221,0.000656443
1222,0.000750578
1223,0.000861733
1224,0.000981529
1225,0.001117863
1226,0.001274554
1227,0.001439289
1228,0.001616521
1229,0.001812997
1230,0.002013948
1231,0.002221147
1232,0.002434485
1233,0.002654305
1234,0.002876663
1235,0.003093743
1236,0.003312891
1237,0.00353421
1238,0.00375677
1239,0.003979319
1240,0.004207994
1241,0.004445584
1242,0.004705757
1243,0.004955643
1244,0.005233736
1245,0.005540445
1246,0.00585027
1247,0.00617861
1248,0.006548566
1249,0.006938819
1250,0.007355204
