Line_ID,Fe_II,He_N,Nebular
Na I 5892 (D),x,,
N II 5938 (28),x,,
Si II 5958/79 (4),x,,
Fe II 5991 (46),x,,
Fe II 6084 (46),x,,
[Fe VII] 6086,,,x
[Ca V] 6087,,,x
Fe II 6148 (74),x,,
Na I 6159 (5),x,,
O VI 6200,,x,
He II 6234,,x,
Al II 6237 (10),x,,
Fe II 6248 (74),x,,
[O I] 6300,,,x
He II 6311,x,x,
[S III] 6312,,,x
N II 6346 (46),x,,
Si II 6347/71 (2),x,,
[O I] 6364,,,x
[Fe X] 6375,,,x
Fe II 6417 (74),x,,
[Ar V] 6435,,,x
Fe II 6456 (74),x,,
N II 6482 (8),x,,
N I 6486 (21),x,,
[N II] 6548,,,x
H I 6563,x,x,x
He II 6560,,x,
[N II] 6584,,,x
He I 6678,x,x,
He II 6683,,x,
[S II] 6716/31,,,x
Al II 6830 (9),x,,
He II 6891,,x,
O I 7002 (21),x,,
[Ar V] 7006,,,x
Al II 7049 (3),x,,
He I 7065,x,x,
[Ar III] 7136,,,x
[Fe II] 7155,,,x
[Ar IV] 7171,,,x
He II 7178,x,x,
C II 7235 (3),x,x,
[Ar IV] 7237,,,x
[Ar IV] 7263,,,x
He I 7281,x,x,
Fe II 7308 (73),x,,
[O II] 7320/30,,,x
N I 7452 (3),x,,
Fe II 7462 (73),x,,
Al II 7471 (21),x,,
O I 7477 (55),x,,
He II 7593,x,x,
N IV 7703,x,x,
Fe II 7712 (73),x,,
O IV 7713,,x,
[S I] 7725,,,x
C IV 7726,,x,
[Ar III] 7751,,,x
O I 7773 (1),x,,
[P II] 7876,,,x
[Fe XI] 7892,,,x
Mg II 7896 (8),x,,
[Mn IX] 7968,,,x
N I 7904,x,,
N I 8166/8202,x,,
Na I 8191 (4),x,,
N I 8212 (2),x,,
O I 8227 (34),x,,
Mg II 8232 (7),x,,
He II 8237,x,x,
Ca II 8251/03 (13),x,,
C I 8335 (10),x,,
O I 8446 (4),x,x,x
Ca II 8498 (2),x,,
H I 8502 (P16),x,x,x
Ca II 8542 (2),x,,
H I 8545,x,x,x
H I 8598,x,x,x
N I 8617 (8),x,x,
Al II 8641 (4),x,,
Ca II 8662 (2),x,,
H I 8665,x,x,x
N I 8692 (1),x,x,
[C I] 8727,,,x
H I 8750 (P12),x,x,x
Mg I 8807 (7),x,,
H I 8863 (P11),x,x,x
H I 9015 (P10),x,x,x
N I 9029/60,x,x,
[S III] 9069,,,x
C I 9087 (3),x,,
N I 9208/9188,x,x,
H I 9229 (P9),x,x,x
Mg II 9218/44 (1),x,,
O I 9264 (8),x,,
He II 9345,x,x,
N I 9395 (7),x,x,
C I 9406 (9),x,,
[S III] 9531,,,x
He II 9542,x,x,
H I 9546 (P8),x,x,x
C I 9658 (2),x,,
He II 9762,x,x,
N I 9831 (19),x,,
[S VIII] 9911,,,x
He II 10045,x,x,
H I 10049 (P7),x,x,x
Al II 10090 (6),x,,
N I 10117 (18),x,,
He II 10124,x,x,
C I 10124,x,,
[N I] 10404,,,x
N I 10526 (28),x,x,
C I 10541 (20),x,,
C I 10693 (1),x,,
He I 10830,x,x,x
Mg II 10926 (3),x,,
H I 10938 (P6),x,x,x
